Rank,Name,Date,Genre,Rate,Vote
1,Shingeki no Kyojin,(2013–2023),"Animation, Action, Adventure",9.1,"422,594"
2,Bleach: Sennen Kessen-hen,(2022– ),"Animation, Action, Adventure",9.1,"21,923"
3,Hagane no renkinjutsushi,(2009–2010),"Animation, Action, Adventure",9.1,"182,350"
4,Hunter x Hunter,(2011–2014),"Animation, Action, Adventure",9.0,"115,593"
5,Ginga Eiyuu Densetsu,(1988–1997),"Animation, Action, Drama",9.0,"4,105"
6,Death Note: Desu nôto,(2006–2007),"Animation, Crime, Drama",8.9,"350,539"
7,Kaubôi bibappu: Cowboy Bebop,(1998–1999),"Animation, Action, Adventure",8.9,"129,139"
8,Ginga: Nagareboshi Gin,(1986),"Animation, Action, Adventure",8.9,"3,033"
9,Vinland Saga,(2019– ),"Animation, Action, Adventure",8.8,"56,018"
10,Dragon Ball Z,(1989–1996),"Animation, Action, Adventure",8.8,"138,905"
11,Steins;Gate,(2011–2015),"Animation, Comedy, Drama",8.8,"68,008"
12,Kimetsu no Yaiba,(2019– ),"Animation, Action, Adventure",8.7,"127,950"
13,Naruto: Shippûden,(2007–2017),"Animation, Action, Adventure",8.7,"141,213"
14,One Punch Man: Wanpanman,(2015–2019),"Animation, Action, Comedy",8.7,"173,783"
15,Monster,(2004–2005),"Animation, Crime, Drama",8.7,"37,454"
16,Kenpuu Denki Berserk,(1997–1998),"Animation, Action, Adventure",8.7,"45,817"
17,Gintama,(2005–2021),"Animation, Action, Comedy",8.7,"13,359"
18,Haikyuu!!,(2014–2020),"Animation, Comedy, Drama",8.7,"30,469"
19,Code Geass: Hangyaku no Lelouch,(2006–2008),"Animation, Action, Drama",8.7,"74,212"
20,Mob Psycho 100,(2016–2022),"Animation, Action, Comedy",8.6,"39,270"
21,Fruits Basket,(2019–2021),"Animation, Comedy, Drama",8.6,"7,767"
22,Jujutsu Kaisen,(2020– ),"Animation, Action, Adventure",8.5,"77,932"
23,JoJo no Kimyô na Bôken,(2012– ),"Animation, Action, Adventure",8.5,"29,639"
24,Shinseiki Evangelion,(1995–1996),"Animation, Action, Drama",8.5,"77,592"
25,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,(2019– ),"Animation, Comedy, Romance",8.5,"17,315"
26,Kingdom,(2012– ),"Animation, Action, Drama",8.5,"2,643"
27,Saint Seiya,(1986–1989),"Animation, Action, Adventure",8.5,"10,734"
28,Ôsama Ranking,(2021– ),"Animation, Action, Adventure",8.5,"10,753"
29,Kôkaku kidôtai: Stand Alone Complex,(2002–2005),"Animation, Action, Crime",8.5,"20,397"
30,Robotech,(1985),"Animation, Action, Adventure",8.5,"3,881"
31,Naruto,(2002–2007),"Animation, Action, Adventure",8.4,"114,354"
32,Mushoku-tensei ~Isekai ittara honki dasu~,(2021– ),"Animation, Action, Adventure",8.4,"15,150"
33,Chainsaw Man,(2022– ),"Animation, Action, Adventure",8.4,"41,037"
34,Spy x Family,(2022– ),"Animation, Action, Comedy",8.4,"31,073"
35,Boku no hîrô akademia,(2016– ),"Animation, Action, Adventure",8.3,"71,365"
36,Black Clover,(2017–2021),"Animation, Action, Adventure",8.3,"29,492"
37,Kiseijû: Sei no kakuritsu,(2014–2015),"Animation, Action, Drama",8.3,"43,503"
38,Dororo,(2019),"Animation, Action, Adventure",8.3,"17,024"
39,Tengen toppa gurren lagann,(2007),"Animation, Action, Adventure",8.3,"19,786"
40,Saiki Kusuo no Psi Nan,(2016–2018),"Animation, Comedy, Fantasy",8.3,"9,310"
41,N.H.K ni yôkoso!,(2006),"Animation, Comedy, Drama",8.3,"7,452"
42,Bleach: Burîchi,(2004–2023),"Animation, Action, Adventure",8.2,"62,216"
43,Yakusoku no Neverland,(2019–2021),"Animation, Action, Adventure",8.2,"42,889"
44,Psycho-Pass,(2012– ),"Animation, Action, Crime",8.2,"20,888"
45,Banana Fish,(2018),"Animation, Action, Adventure",8.2,"7,327"
46,Tian Guan Ci Fu,(2020– ),"Animation, Action, Adventure",8.2,"2,024"
47,Kyaputen Tsubasa,(2018–2019),"Animation, Drama, Family",8.2,"1,840"
48,Re:Zero kara Hajimeru Isekai Seikatsu,(2016– ),"Animation, Adventure, Drama",8.1,"21,453"
49,Dokutaa Sutoon,(2019– ),"Animation, Action, Adventure",8.1,"24,323"
50,Food Wars!: Shokugeki no Soma,(2015–2020),"Animation, Comedy, Drama",8.1,"11,363"
